A.;Jag;Je t'aime Juliette;unknown;unknown;unknown;Je t'aime Juliette - A. Jag;OXC7Fd0ZN8o;A Jag Je t'aime Juliette OXC7FdZN8o;6955346875
Abreu;Zequinha;Tico-Tico no fuba;Brazilian;1880;1935;Tico-Tico no fuba Zequinha Abreu - P. Barton piano;KyEuFpJuwfc;Abreu Zequinha Tico-Tico no fuba KyEuFpJuwfc;19155746875
Achron;Joseph;Coquetterie Op.15;American;1886;1943;J. Achron - 2 Pieces Op. 56 (Jascha Nemtsov piano);sNqKnJNxSOE;;0
Achron;Joseph;2 Pieces Op.56;American;1886;1943;J. Achron - 2 Pieces Op. 56 (Jascha Nemtsov piano);sNqKnJNxSOE;Achron Joseph 2 Pieces Op56 sNqKnJNxSOE;52725746875
Achron;Joseph;Suite No.2 en Style moderne Op.22;American;1886;1943;J. Achron - 2 Pieces Op. 56 (Jascha Nemtsov piano);sNqKnJNxSOE;;0
Adalid;Marcial del;24 Romances sans paroles;German;1440;1505;Marcial del Adalid : Aubade  #15 from 24 Romances sans Paroles (1850s);FazuwhlTGtM;Adalid Marcial del 24 Romances sans paroles FazuwhlTGtM;13633346875
Adalid;Marcial del;Un Recuerdo;German;1440;1505;Marcial del Adalid : Un Recuerdo (A memory) romanza sin palabras;wjSOPn534So;Adalid Marcial del Un Recuerdo wjSOPn534So;23821346875
Adams;A. Emmett;The Bells of St. Mary's;unknown;unknown;unknown;A. Emmett Adams : The Bells Of St. Mary's (1917);0dujyKFQVc4;Adams A Emmett The Bells of St Mary's dujyKFQVc4;27799346875
Adams;Clifford;Hanky Pank;unknown;unknown;unknown;Hanky Pank by Harry Robinson & Clifford Adams (1914 Slow Drag);yvYoOmaNV8k;Adams Clifford Hanky Pank yvYoOmaNV8k;13780946875
Adams;Clifford;Ink Splotch Rag;unknown;unknown;unknown;Ink Splotch Rag by Clifford Adams (1909 Ragtime piano);uw7mUVsWUUU;Adams Clifford Ink Splotch Rag uw7mUVsWUUU;13795346875
Adams;Ernest Harry;Afterwhiles;unknown;unknown;unknown;Ernest Harry Adams : Afterwhiles (Momento Appassionato);bf_x_6zgwcs;Adams Ernest Harry Afterwhiles bf_x_6zgwcs;17348546875
Adams;Ernest Harry;Evening Invocation;unknown;unknown;unknown;Ernest Harry Adams : Evening Invocation (Melodie);vsq8voyBe0I;Adams Ernest Harry Evening Invocation vsq8voyBeI;16387346875
Adams;Ernest Harry;Romance of the Wind Op.24;unknown;unknown;unknown;Ernest Harry Adams : Afterwhiles (Momento Appassionato);bf_x_6zgwcs;;0
Adams;G. W.;The Cake Winner;unknown;unknown;unknown;The Cake Winner by G.W. Adams (1899 Ragtime piano);jpGN53CNZoA;Adams G W The Cake Winner jpGN53CNZoA;12240146875
Adams;Mrs. Crosby;Barcarolle Op.2;unknown;unknown;unknown;Juliette Graves Adams : Barcarolle (A pedal study) Op. 2;4yD9RWLxKf4;Adams Mrs Crosby Barcarolle Op2 4yD9RWLxKf4;11836946875
Adiego Navarro;Tomas;Fidela;unknown;unknown;unknown;Tomas Adiego Navarro Gitanilla 1888;UB0my6R4RoA;Adiego Navarro Tomas Fidela UBmy6R4RoA;11703746875
